Smiles,Solvent,Lifetime (ns),Quantum yield,Fluorescent labeling
CN1C=CC(NC(=O)CC2=CSC(=N2)C2=CC=CC(Cl)=C2)=N1,,,,No 
CN(C)C1=NC(N)=NC(CN2N=NC(=N2)C2=CC=CS2)=N1,,,,No 
CC1=CC=C(C(C)=C1)S(=O)(=O)N1CCN(CC1)C(=O)C1CCCCC1,,,,No 
O=C(CN1C(=O)C2C3CC(C=C3)C2C1=O)N(C1CCCCC1)C1=CC=CC=C1,,,,No 
FC(F)(F)C1CCCN(C1)C(=O)C1=CC=C2NC(=O)COC2=C1,,,,No 
COCC(=O)N1CCN(CCN2C(=O)OC3=CC=CC=C23)CC1,,,,No 
O=C(N1CCC2=CC=CC=C12)C1=CN(CC2=CC=CC=C2)N=N1,,,,No 
OC1CCCN(CCOC2=CC=CC=C2Cl)C1,,,,No 
COC1=CC=C(NC(=O)CN2C3=CC=CC=C3OCCC2=O)C=C1Cl,,,,No 
OC1CCN(CCOC2=CC=C(Cl)C=C2)CC1,,,,No 
COC1=CC=C(C=C1F)C(=O)N1CCC(CC1)C1=NC2=CC=CC=C2N1,,,,No 
CN1C(=O)N(C)C(NCC2CCN(C2)C2CC2)=C(C#N)C1=O,,,,No 
CN(C)C(=O)C1=CC=C2NC3=C(CCCCC3)C2=C1,,,,No 
O=C(N(CC1CCOC1)C1CC1)C1=CC=C(OCC2=CC=CN=C2)C=C1,,,,No 
O=C(NCC1=CC(=NO1)C1=CC=CC=C1)C1=CN(N=C1)C1=CC=CC=C1,,,,No 
FC1=CC=CC=C1CN1CCN(CC1)C(=O)C1=NNC2=CC=CC=C12,,,,No 
CN1C=C(C=N1)C1=NC(=CS1)C(=O)NCC1=CC=C(N=C1)N1C=NC=N1,,,,No 
CC(=O)N1CCC(CC1)NC1=C2C=NNC2=NC=N1,,,,No 
N#CC1=CC=CN=C1NCCN1CCN(CC1)C1=NC=CC=N1,,,,No 
ClC1=CC=C(CN2CCN(CC2)C(=O)C2=NNC3=CC=CC=C23)C=C1,,,,No 
CN1CCC(CC1)NC(=O)C1=CN(N=C1C1=CC=CC=C1C)C1=CC=CC=C1,,,,No 
O=C(N1CCN(CC1)C1=CN=CC=N1)C1=CC=CN=C1N1CCCC1,,,,No 
CN1C=C(C(=O)N2CCCC2C2=NN=C3C=CC=CN23)C2=CC=CC=C12,,,,No 
CCCCN(C(=O)C1=CSC(=N1)C1=CN(C)N=C1)C1=CC=CC=C1,,,,No 
COC1=CC=C(CN(C)C2=NC3=CC=CC=C3O2)C=C1OC,,,,No 
CC(C)C1=CC=C(CN2CCN(CC2)C(=O)C2=NNC3=CC=CC=C23)C=C1,,,,No 
CC(NC(C)C1=CC=C(F)C=C1)C1=NN=C(O1)C1=CC=CC=C1,,,,No 
CC1=C(C(=O)NCC2CCOC2)C(=NO1)C1=CC=CC=C1,,,,No 
NC(=O)COC1=CC=CC(=C1)C(=O)N1CCN(CC1)C1=CN=CC=N1,,,,No 
O=C(CC1=CN2C=CC=CC2=N1)NC1CCOC2=CC=CC=C12,,,,No 
CC(C)CN1N=C(C)C2=C1SC(=C2)C(=O)NC1=CC=C2OC(C)=NC2=C1,,,,No 
CCC1=CC=C(S1)C(=O)NC1=CC=C2N=C3CCCN3C(=O)C2=C1,,,,No 
FC(F)(F)C1=CC=C(CN2CCN(CC2)C(=O)CCC2=CNC3=CC=CC=C23)C=C1,,,,No 
FC1=CC=C(C2=CN=C(CCC(=O)N3CCCC3C3=CC=NC=C3)O2)C(F)=C1,,,,No 
O=C(NC1=CC=CC=C1N1C=CC=N1)C1=NC2=CC=CC=C2C=C1,,,,No 
CC1=CC=CC(CN2CCN(CC2)C(=O)C2=NNC3=CC=CC=C23)=C1,,,,No 
CC1=NOC(=C1)C1CCCN1C(=O)C1=CC=C(S1)C1=CC=CC=C1F,,,,No 
FC1=CC=C(C=C1)C1(CCCC1)C(=O)NC1=CC=C(N=C1)N1CCCC1,,,,No 
CNC(=O)C1CCCCN1C(=O)C1=C(C)N(N=C1)C1=CC=CC=C1C,,,,No 
COC1=CC2=CC=C(N=C2C=C1)C(=O)N1CCC(CC1)NS(C)(=O)=O,,,,No 
CC(=O)N1CCC(CC1)NC(=O)C1=CC=CN=C1N1CCCC1,,,,No 
NC(=O)C1=CC(NC(=O)C2=CC=C(O2)C2=CC=CC=C2Cl)=CC=C1Cl,,,,No 
O=C(NC(C1CC1)C1CC1)C1CCN(CC1)C1=CC=C(C=N1)C#N,,,,No 
COC1=CC=C(C=C1OC)C(=O)N1CCN(CC1)C1=CC=CC=C1OC,,,,No 
CN1CCCN(CC1)C1=CC=C(CNC(=O)C2=CC=CC(OC3=CC=CC=C3)=C2)C=N1,,,,No 
OC(=O)CCC1=CC=C(C=C1)S(=O)(=O)NC1=CC=C2OC(F)(F)OC2=C1,,,,No 
O=C(NC1=NN=C2C=CC=CN12)C1=CC=CC(OCC2CCCO2)=C1,,,,No 
CC1=C(SC(=N1)C1=CC=C(F)C=C1)C(=O)NCC1CCOC1,,,,No 
NC(=O)CN1CCC(CC1)NC(=O)C1=CC=C(C=C1)N1C=CC=N1,,,,No 
CS(=O)(=O)NC1CCCN(C1)C(=O)C1=CC=C(CN2C=CC=CC2=O)O1,,,,No 
FC(F)OC1=CC=C(NC(=O)C2=NN(C=C2)C2=CC=CC=C2)C=C1,,,,No 
FC1=CC=C(C=C1)C1=CC(=NN1)C(=O)N1CCN(CC1)C1=CC=CC=C1Cl,,,,No 
CC(C1=NN=NN1C1=CC=CC=C1)S(=O)(=O)CC1=NC2=CC=CC=C2S1,,,,No 
CN1N(C(=O)C(NC(=O)CC2=CN(N=C2)C2=CC=CC=C2)=C1C)C1=CC=CC=C1,,,,No 
CCONC(=O)C1=NC=CN=C1C1=NC2=CC=CC=C2S1,,,,No 
CC(NC(=O)C1=C(C)N=C(S1)C1=CC=C(C)O1)C1=CC=CC=N1,,,,No 
CC1=NN(C(C)=C1)C1=CC=CC(NC(=O)C2=CN3C=CC(C)=CC3=N2)=C1,,,,No 
FC(F)(F)C1=CC=C(C=N1)C(=O)NC1CCOC2=CC=CC=C12,,,,No 
FC(F)(F)C1=CN(CC2=CSC(NC3=CC=CC=C3)=N2)C(=O)C=C1,,,,No 
CC1=CC=CC=C1CN1CCCN(CC1)C(=O)C1=CC2=CC(F)=CC=C2N1,,,,No 
CC1CCC(CC1)NC(=O)C1CCCN(C1)C(=O)C1=CC=C(F)C=C1,,,,No 
FC1=CC=C(C=C1)C1=CC(=NN1)C(=O)N1CCN(CC1)C1=CC=CC=C1,,,,No 
CC1=NN(C(C)=C1)C1=CC=CC(NC(=O)C2=CC=C(Cl)S2)=C1,,,,No 
CN1C=C(C=N1)C1=NC(=CS1)C(=O)NC1=CC=CC(OCC2=CC=CC=N2)=C1,,,,No 
COC1=CN(N=C1C(=O)NC1=CC=C(Cl)C(=C1)C(F)(F)F)C1=CC=CC=C1,,,,No 
CC1=CC=CC=C1C(=O)N1CCC(CC1)C(=O)N1CCN(CC1)C1=CC=CC=C1O,,,,No 
CC1OC2=CC=CC=C2N(CC(=O)NC2=CC=C3NC(C)=CC3=C2)C1=O,,,,No 
NC(=O)[C@@H]1CC2=CC=CC=C2CN1CCCC1=NC2=CC=CC=C2O1,,,,No 
O=C(C1CC1)N1CCN(CC1)C1=C2SC=CC2=NC=N1,,,,No 
COC1=CC=C2N(CCCC2=C1)C(=O)C1=CC=CC(=C1)N(C)C,,,,No 
CC(NC(=O)C1=CC=C2NC(=O)COC2=C1)C1CC1,,,,No 
CC1=C(C=CO1)C1=NN=C(SC2=C3C(C)=C(C)SC3=NC=N2)N1CC=C,,,,No 
CC1=C(SC(CC2=CC=C(F)C=C2)=N1)C(=O)NC1CCCN(C1)C1=NC=CC=N1,,,,No 
CC1=CC=CC(=C1)N1CCN(CC1)C(=O)C1=NNC2=CC=CC=C12,,,,No 
CC1=CC(=CC(C)=C1)C(=O)N1CCN(CC1)C(=O)C1=NNC(=C1)C1=CC=CC=C1,,,,No 
CC1OC2=CC=CC=C2OC1C(=O)N1CCN(CC1)C1=NC=CC=N1,,,,No 
CC1=NC(=NN1C1=CC=C(F)C=C1)C(=O)NCC1=CC=C(N=C1)N1C=NC=N1,,,,No 
CC(C)C(CN1C(=O)NC2=CC=CC=C2C1=O)N1CCOCC1,,,,No 
CN1C=C(C=N1)C1=NC(=CS1)C(=O)NCC1=NN=C2C=CC=CN12,,,,No 
CC1=C(C=NN1C1=CC=CC=C1)C(=O)NC(C1CC1)C1CC1,,,,No 
CC1=CC=C(NC(=O)CN2CCCC2)C=C1S(=O)(=O)N1CCOCC1,,,,No 
CC1=CC(C)=C(C)C(=C1C)S(=O)(=O)N1CCN(CC1)C(=O)C1CC1,,,,No 
FC(F)(F)C1=CC=CC=C1N1C=C(N=N1)C(=O)N(CC1CCOC1)C1CC1,,,,No 
FC(F)(F)OC1=CC=C(C=C1)S(=O)(=O)NC1CCCCCC1,,,,No 
O=C(CN1C2=CC=CC=C2C=C1C1=CC=CC=C1)N1CCCCC1,,,,No 
CC1=CC=C(O1)C1=NC(C)=C(S1)C(=O)N1CCCC2=CC(F)=C(F)C=C12,,,,No 
FC1=CC=C(OC2=CC=C(CN3C=C(C#N)C(=O)NC3=O)C=N2)C=C1,,,,No 
ClC1=CC(Cl)=C2N=C(NC(=O)C2=C1)C1=NN=CN1,,,,No 
CN(C)C(=O)C1=CC=CC(NC(=O)C2=NOC(=C2)C2=CC=CC(Cl)=C2)=C1,,,,No 
FC(F)(F)C1=CC=CC=C1C(=O)NC1CC2CC1C1CCCC21,,,,No 
CCC1CN(CCO1)C(=O)C1=CC=C(C=C1)N1C=NN=N1,,,,No 
NC(=O)C1=CC=C(C=C1)S(=O)(=O)N(CC1=CC=CC=N1)C1CC1,,,,No 
FC(F)(F)C1=CC=CC=C1N1C=C(N=N1)C(=O)NC1=NN=C2C=CC=CN12,,,,No 
FC1=CC=CC(=C1)C1=NOC(=C1)C(=O)NC1=CC=C(F)C(=C1)N1CCCC1=O,,,,No 
CC1=CC=CC(=C1)N1CCN(CC1)C(=O)C1=NNC(=C1)C1=CC=CC=C1,,,,No 
FC1=CC=C2NC3=C(CN(CC3)C(=O)C3=CC=C(N=C3)C(F)(F)F)C2=C1,,,,No 
CC(=O)C1=CC=CC(OC2=C(N3C=CC=CC3=N2)[N+]([O-])=O)=C1,,,,No 
O=C(CN1CCOCC1)N1CCN(CC1)C1=C2SC=CC2=NC=N1,,,,No 
CC1=CC=C2N(CCCC2=C1)C(=O)C1=CN(N=N1)C1=CC=CC=C1Br,,,,No 
O=C(NC1=CC=CC2=C1CCCC2)C1=NOC(=C1)C1=CC=CN=C1,,,,No 
CCOC1=CC=C(C=C1)C1=NC(C)=C(S1)C(=O)NCC1CCOC1,,,,No 
FC1=CC=C2N=C(CC3=CC=C4OCOC4=C3)NC(=O)C2=C1,,,,No 
COC1=CC=C(C=C1OC)C1=NC(=CS1)C(=O)NCC1CCOC1,,,,No 
COC1=CC=CC(=C1)N1CCN(CC1)C(=O)C1=CC2=CC(OC)=CC(OC)=C2N1,,,,No 
COC(=O)C1CCN(CC1)C(=O)CC1=CC=C2CCCCC2=C1,,,,No 
CN(CC1=C(F)C=CC=C1Cl)C(=O)C1=CC(=NO1)C1=CC=CC(F)=C1,,,,No 
FC1=CC=CC=C1C1=CC=C(S1)C(=O)NC1=NN=C2C=CC=CN12,,,,No 
O=C(NC(C1CC1)C1=CC=CC=C1)C1CCN(CC1)C1=CC=C(C=N1)C#N,,,,No 
CC1=CN=C(C=N1)C(=O)NC1=NC=C(CC2=CC(=CC=C2Cl)C(F)(F)F)S1,,,,No 
CN1CCN(C(C1)C1=CC=CC=C1)C(=O)C1=CC=CC(=C1)S(C)(=O)=O,,,,No 
CCC(CC)C(=O)N1CCN(CC1)C(=O)C1=NNC2=CC=CC=C12,,,,No 
COC1=CC=CC(=C1)N1CCN(CC1)C(=O)C1=CC(C)=CC(C)=C1,,,,No 
CCOC1=CC=C(C=C1)C1=NC(=CS1)C(=O)NCC1CCOC1,,,,No 
FC1=CC=C2C(NC=C2C2=CCN(CC2)C(=O)CN2CCCC2=O)=C1,,,,No 
O=C1COC2=CC=C(C=C2N1)S(=O)(=O)NCC1(CCC1)C1=CC=CC=C1,,,,No 
COC1=CC=CC(=C1)N1CCN(CC1)C(=O)C1=CC(OC)=C(C)C(OC)=C1,,,,No 
CC1=CC(=CC(C)=C1)N1N=CC2=C1N=CN(CC1=C(F)C(F)=C(F)C(F)=C1F)C2=O,,,,No 
FC1=C2C=C(SC2=CC=C1)C(=O)NC1=CC=CC=C1N1C=CC=N1,,,,No 
O=C(NCC1=CC=CN=C1N1C=CC=N1)C1=CN(CC2=CC=CC=C2)N=N1,,,,No 
CC(C)N1N=CC2=CC(=CN=C12)C(=O)NCC1=NC2=CC=CC=C2S1,,,,No 
CC1=C(SC(=N1)C1=CC=CC=N1)C(=O)NC1=CC=CC=C1N1CCCCCC1,,,,No 
CNC(=O)C1CC2=CC=CC=C2CN1CC1=CC=CC=C1F,,,,No 
OCCCN1CCN(CC1)S(=O)(=O)C1=CC=CC(F)=C1,,,,No 
CC1=CC=C(CNC(=O)N2CCC3=C(C2)C2=CC=CC=C2N3)C=C1,,,,No 
COC(=O)C1CCN(CC1)C(=O)C1=CC(Cl)=C2OCCCOC2=C1,,,,No 
CC1=C(C(=O)NC2CCN(CC2)C2CC2)C(=NO1)C1=C(F)C=CC=C1Cl,,,,No 
ClC1=CC=CC(=C1)N1CCN(CC1)C(=O)C1=NNC(=C1)C1=CC=CC=C1,,,,No 
CC1CN(CC(C)O1)C1=CC=C(C=N1)C(=O)NCC1=CC=CN=C1N1C=CC=N1,,,,No 
CN1N=C(C)C2=CC(NC(=O)C3CC4=CC(Cl)=CC=C4O3)=CN=C12,,,,No 
COC(=O)C1(CCN(CC1)C(=O)C1CC1)C1=CC=CC=C1,,,,No 
CN1C=C(C=N1)C1=NC(=CS1)C(=O)NC1=CC=CC(=C1)N1C=CC=N1,,,,No 
O=C(CN1CCN(CC1)C(=O)C1=NNC2=CC=CC=C12)NC1=CC=CC=C1,,,,No 
FC1=CC=C(C=C1)C(=O)CN1N=NC(=N1)C1=CC=CC(F)=C1,,,,No 
COC1=CC=CC(C(=O)N2CCN(CC2)C2=CN=CC=N2)=C1OC,,,,No 
CN1CCN(CC1)C1=CC=C(NC(=O)C2=CC=C(C)C=C2)C(C)=C1,,,,No 
FC(F)(F)C1=CC=C(C=C1)C1=CC=CC=C1C(=O)NC1CCN(CC1)C1CC1,,,,No 
COC1=CC2=C(CN(CC2)C(=O)NCC2=CC=CN=C2)C=C1OC,,,,No 
O=C(NC1CCCCCC1)C1=CC=C(OCC2=CC=NC=C2)C=C1,,,,No 
O=C(NC1=CC=CN=C1N1CCCC1)C1=NC2=CC=CC=C2N=C1,,,,No 
COC(=O)C1(CCN(CC1)C(=O)CC1=CC=C(F)C=C1)C1=CC=CC=C1,,,,No 
ClC1=CC=C(CN2CCN(CC2)C(=O)C2=NNC(=C2)C2=CC=CC=C2)C=C1,,,,No 
BrC1=CC=CC(OC2=CC=C(C=N2)C(=O)N2CCCCCC2)=C1,,,,No 
CC1=CC(=CC(C)=C1)C(=O)N1CCN(CC1)C(=O)C1=NNC2=CC=CC=C12,,,,No 
O=C(CN1CCN(CC1)C1=C2SC=CC2=NC=N1)N1CCCCC1,,,,No 
O=C(NCC1=CC=CN=C1N1C=NC=N1)C1=CN(CC2=CC=CC=C2)N=N1,,,,No 
CC(N(C)C(=O)C1=NOC(=C1)C1=CC=CN=C1)C1=CC=C(C=C1)N1C=NC=N1,,,,No 
O=C(NCC1=CC=CN=C1N1C=NC=N1)C1=CC=C(CN2C=NC=N2)C=C1,,,,No 
CCOC1=NC=CC=C1NC(=O)C1=CC=C(S1)C1=CC=CC=C1F,,,,No 
FC(F)(F)C1=CC(=CC(=C1)C(=O)NC1=CC=C2OCCCOC2=C1)C(F)(F)F,,,,No 
COC(=O)C1(CCN(CC1)C(=O)C1=CC=CC=C1)C1=CC=CC=C1,,,,No 
CC1=CC(C)=C(OCC(=O)N2CCC3=C(C2)C2=CC(F)=CC=C2N3)C(C)=C1,,,,No 
CCN(CC1=CC=CC(F)=C1)C(=O)CC1=C(C)N(N=C1C)C1=CC=CC=C1,,,,No 
O=C(NC1CCCN(C1)C1=NC=CC=N1)C1=CSC(CC2=CC=CC=C2)=N1,,,,No 
O=C(N1CCN(CC2=CC=CC=C2)CC1)C1=NNC2=CC=CC=C12,,,,No 
FC1=CC=C(C=C1)N1N=C(C(=O)NCC2CCOC2)C2=C1CCCC2,,,,No 
O=C(NC1=CC=CN=C1N1CCCC1)C1=CC=C(OC2=CC=CC=C2)N=C1,,,,No 
O=C(CN1CCN(CC1)C1=C2SC=CC2=NC=N1)N1CCCC1,,,,No 
CC1=CC=C(C)C(=C1)S(=O)(=O)NC1CCN(CC(N)=O)CC1,,,,No 
O=C1NC2=CC=CC=C2C(=O)N1CCN1CCCCCC1=O,,,,No 
CC1=CC=CN2C=C(COC3=CC=CC(=C3)C(N)=O)N=C12,,,,No 
COC(=O)C1(CCN(CC1)C(=O)CC1=CC=CC=C1F)C1=CC=CC=C1,,,,No 
CC(C)C1=CC=C(C=C1)C(=O)N1CCN(CC1)C(=O)C1=NNC2=CC=CC=C12,,,,No 
FC1=CC=C2C(CC(=O)NC2=C1)C(=O)NCC1(CC1)C1=CC=CC=C1,,,,No 
CC1=NN(C(C)=C1)C1=CC=C(CNC(=O)C2=CC(O)=NC3=CC=CC=C23)C=N1,,,,No 
CC1COCCN1C(=O)C1CCN(CC1)C1=CC=C(C=N1)C#N,,,,No 
C1CC1N1CCC(CC1)NC1=C2C=CSC2=NC=N1,,,,No 
CC(C)C1=NC(C)=CC(=N1)N1CCN(CC1)C(C)C(=O)N1C(C)CC2=CC=CC=C12,,,,No 
O=C(NCCC1=NC2=CC=CC=C2N1)C1=CC=C(CN2CCCC2=O)C=C1,,,,No 
CC(N1CCN(CC1)C(=O)C1=CC=CC=C1F)C(=O)N1CCC2=CC=CC=C12,,,,No 
O=C(N1CCN(CC1)C1=CC=NC=C1)C1=NNC(=C1)C1=CC=CC=C1,,,,No 
COC1=CC=CC(C2=NC(=CS2)C(=O)NC2=CC=CN=C2N2CCCC2)=C1OC,,,,No 
COC1=CC=C2N(CCCC2=C1)C(=O)C1=CC=CC(F)=C1,,,,No 
FC(F)(F)C1=CC=C(C=C1)C1=NC(CS(=O)(=O)CC2CCCO2)=CS1,,,,No 
CCOC1=CC=C(CN2CCN(CC2)C(=O)C2=NNC(=C2)C2=CC=CC=C2)C=C1,,,,No 
CC1CCC2=C(C1)SC=C2C(=O)NC1CCN(CC1)C(C)=O,,,,No 
CN1N(C(=O)C(NC(=O)CCC2=NC3=CC=CC=C3N2)=C1C)C1=CC=CC=C1,,,,No 
CC1=NOC(=C1)C(=O)NC1=NC=C(CC2=CC(=CC=C2Cl)C(F)(F)F)S1,,,,No 
CCC1=CC2=C(N=CN=C2S1)N1CCN(CC1)C(=O)C1CCCO1,,,,No 
CC1=NN(C(C)=C1)C1=CC=C(NC(=O)CC2=CC=CC(=C2)C(F)(F)F)C=N1,,,,No 
CC1=CC2=NC(=CN2C=C1)C(=O)NCC1=CN2C=C(Cl)C=CC2=N1,,,,No 
COC1=CC=C(CN2CCN(CC2)C(=O)C2=NNC3=CC=CC=C23)C=C1,,,,No 
CC(=O)N1CCCN(CC1)C(=O)C1=CSC2=C1CCCC2,,,,No 
CS(=O)(=O)NC1CCCN(C1)C(=O)NC1=CC=CC(CN2C=CC=N2)=C1,,,,No 
COC1=CC(OC)=C(C2=CCN(CC2)C(=O)CCC2=CC=C(C)C=C2)C(OC)=C1,,,,No 
CC1=C(N=C(O1)C1=CC=CC=C1)C(=O)NC1=CC=CN=C1N1CCCC1,,,,No 
CC(N1CCC(O)CC1)C(=O)NC1=CC=CC2=NC=CC=C12,,,,No 
O=C(NC1=CC=C2CCCC2=C1)C1=NOC(=C1)C1=CC=CN=C1,,,,No 
CCC1CN(CCO1)C(=O)C1=CN(N=N1)C1=CC=C2OCCOC2=C1,,,,No 
CCN1C(SCC2=CC=C(Cl)C3=CC=CN=C23)=NN=C1C1=CC=CC=C1,,,,No 
CC1=NN(C(C)=C1CC(=O)N1CCC2=CC=CC=C12)C1=CC=CC=C1,,,,No 
FC1=CC=C(C=C1)C1=CC(=NN1)C(=O)N1CCN(CC1)C1=CC=CC(Cl)=C1,,,,No 
CC1CC2=CC=CC=C2N1C(=O)CN1CCN(CC2=CC=CC=C2F)CC1,,,,No 
CCN1C=NN=C1CNC(=O)N1CCCC1C1=CC=C(OC)C=C1,,,,No 
FC1=CC=CC(=C1)C(=O)N1CCN(CC1)C(=O)C1=NNC2=CC=CC=C12,,,,No 
CC1=CC=C(C=C1N1C=CC=C1)C(=O)NC1=CC=CN=C1N1CCCC1,,,,No 
COC1=CC2=CC(C(=O)NCC3CCN(C3)C3=CC=CC=C3)=C(C)N=C2C=C1,,,,No 
O=C(N1CCC2=CC=CC=C12)C1=NOC(=C1)C1=CC=CN=C1,,,,No 
O=C(N1CCN(CC2=CC=CN=C2)CC1)C1=NNC(=C1)C1=CC=CC=C1,,,,No 
CC1=C(OC2=C(F)C=CC=C12)C(=O)NC1=CC=CC=C1N1C=CC=N1,,,,No 
NC(=O)CN1CCC(CC1)NC(=O)C1=CC2=CC=CC=C2O1,,,,No 
O=C(N1CCN(CC2=CC=NC=C2)CC1)C1=NNC(=C1)C1=CC=CC=C1,,,,No 
CCN(C(=O)C1=C2C=NN(C(C)C)C2=NC(=C1)C1CC1)C1=CC=CC=C1,,,,No 
CC1CC(C)CN(C1)C(=O)C1=CC=C2NC3=C(CCCC3)C2=C1,,,,No 
CCC1=CC=C(C=C1)C(=O)N1CCN(CC1)C(=O)C1=NNC2=CC=CC=C12,,,,No 
O=C(NC1CCN(CC1)C(=O)C1CCCCC1)C1=NC2=CC=CC=C2N=C1,,,,No 
COC1=CC=C(OCC(=O)NC2=CC=C3N4CCCCCC4=NC3=C2)C=C1,,,,No 
CC1=CC=C(C=C1)N1C=C(N=N1)C(=O)NCC1=NN=C2C=CC=CN12,,,,No 
COC1=CC=C(Cl)C=C1C(=O)NC1=CC=CN=C1N1C=CC=N1,,,,No 
CCOC1=CC=CC=C1N1N=NN=C1SCC1=CC=CC(Br)=C1,,,,No 
COC1=CC=C(F)C=C1C1=CSC(CC(=O)NC2=CC=CC=C2C)=N1,,,,No 
COC1=CC=CC=C1N1CCN(CC1)C(=O)C1=NNC(=C1)C1=CC=CC(Cl)=C1,,,,No 
CC1=CC=CC(NC(=O)CN2CCN(CC2)C(=O)C2=NNC3=CC=CC=C23)=C1C,,,,No 
FC(F)(F)C1=NC2=CC=CC=C2N1CC(=O)NC1=CC2=CC=CC=C2N=C1,,,,No 
O=C(N1CCN(CC1)C1=CC=NC=C1)C1=NNC2=CC=CC=C12,,,,No 
COC1=CC=CC=C1N1CCN(CC1)C(=O)C1=CC=C(C)C(NC(C)=O)=C1,,,,No 
NC(=O)C1=CC=C(CN2CCC(CC2)NC(=O)C2=CC=C(F)C=C2)C=C1,,,,No 
CC(=O)C1=CNC(=C1)C(=O)NC1=NN=C(S1)C1=CC=CO1,,,,No 
FC(F)(F)C1=CC(NC(=O)CN2C=NC3=CC=CC=C23)=CC=C1Cl,,,,No 
NC(=O)CN1CCC(CC1)NC(=O)C1=NC2=CC=CC=C2C=C1,,,,No 
COC1=CC=C(NC(=O)CN2C(C)=CC(=C2C)C2=CSC(C)=N2)C=N1,,,,No 
COC1=CC=CC=C1N1CCN(CC1)C(=O)C1=NNC(=C1)C1=CC=C(F)C=C1,,,,No 
CNC(=O)C1CCCCN1C(=O)C1=CC=C(C=C1)N1N=CC=C1C,,,,No 
O=C(NCC1CCOC1)C1CCN(CC1)C1=CC=C(C=N1)C#N,,,,No 
CC(=O)N1CCN(CC1)C(=O)C1=NNC(=C1)C1=CC=C(F)C=C1,,,,No 
CN1C=C(C=N1)C1=NC(=CS1)C(=O)NCC1=CC(=NO1)C1=CC=CC=C1,,,,No 
CNC(=O)C1CC2=CC=CC=C2CN1S(=O)(=O)C1=CC=C(C)C=C1,,,,No 
IC1=CC=CC=C1NC(=O)CC1=CN(N=C1)C1=CC=CC=C1,,,,No 
CC1=CC=C(C=C1C)S(=O)(=O)NC1CCN(CC(N)=O)CC1,,,,No 
O=C(N1CCN(CC2=CC=NC=C2)CC1)C1=NNC2=CC=CC=C12,,,,No 
CC1=CC=CC(OCC(=O)NC2=CC=C3N4CCCCCC4=NC3=C2)=C1,,,,No 
CC(N1CCN(CC1)S(=O)(=O)C1=CC=C(Cl)S1)C(=O)NC1=CC=CC2=NC=CC=C12,,,,No 
CC1=CC=C(CC2=CN=C(NC(=O)C3CCCN(C3)C3=CN=CC=N3)S2)C=C1Cl,,,,No 
CC1=C(N=C(O1)C1=CC=C(Cl)C=C1)C(=O)N1CCCC2=CC(C)=CC=C12,,,,No 
O=C(NC(C1CC1)C1=CC=CC=C1)C1=CC=C2N=CSC2=C1,,,,No 
OCCN1CCN(CCN2C(=O)OC3=CC=CC=C23)CC1,,,,No 
OC(=O)C1CCN(CC1)C(=O)C1=CC=C(S1)C1=CC=C(F)C=C1,,,,No 
O=C(NC1=NN=C(S1)C1=CC=CO1)C1=NNC(=O)C2=CC=CC=C12,,,,No 
CN1C(SC2=C3C(C)=C(C)SC3=NC=N2)=NN=C1C1=CC=C(C)C=C1,,,,No 
CCN1C(SC2=C3C=C(CC)SC3=NC=N2)=NN=C1C1=CC=CC(OC)=C1,,,,No 
O=C(N1CC(=O)NC2=CC=CC=C12)C1=CSC(=N1)C1=CSC=C1,,,,No 
CNC(=O)C1CN(C(=O)CCC2=CNC3=CC=CC=C23)C2=CC=CC=C2O1,,,,No 
CCC1=CC=CC=C1NC(=O)CN1CCN(CC1)C(=O)C1=NNC2=CC=CC=C12,,,,No 
FC(F)(F)C1=CC=C(C=C1)C(=O)N1CCC(CC1)C(=O)NCC12CC3CC(CC(C3)C1)C2,,,,No 
COC1=CC=CC=C1N1CCN(CC1)C(=O)C1=NNC(=C1)C1=CC=CC=C1Cl,,,,No 
CC1=NOC(=N1)C1=CC=C(C=C1)C(=O)N1CCCC(C1)NS(C)(=O)=O,,,,No 
COC1=CC=C(C=C1)C(=O)N1CCN(CC1)C(=O)C1=NNC(=C1)C1=CC=CC=C1,,,,No 
CC(NC(=O)C1CN(CC2=CC=CC(=C2)C(F)(F)F)C(=O)C1)C1=CC=C(C=C1)C#N,,,,No 
NC(=O)C1=CC=C(CSCC2=CC(=NO2)C2=CC=C(Cl)C=C2Cl)C=C1,,,,No 
ClC1=CC(Br)=CC=C1NC(=O)CC1=CSC(=N1)C1=CC=CC=C1,,,,No 
FC1=CC=C(C=C1)C1=CC(=NN1)C(=O)N1CCN(CC2=CC=CC=C2)CC1,,,,No 
CC(=O)N1CCN(CC1)C(=O)C1=CC=C(OC2=CC=CC(Br)=C2)N=C1,,,,No 
ClC1=CC=CC=C1N1CCN(CCC(=O)NC2=CC=C3OCCOC3=C2)CC1,,,,No 
COC1=CC2=C(CN(CC2)C(=O)NCC2=CC=CC=N2)C=C1OC,,,,No 
C(NC1=C2NC=NC2=NC=N1)C1(CCOCC1)C1=CC=CC=C1,,,,No 
O=C(CN1C2=CC=CC=C2OCCC1=O)NC1CCN2CCCCC12,,,,No 
FC(F)(F)C1=CC=NC(NC2CCCN(C2)C2=NC=CC=N2)=N1,,,,No 
CC1=CC=CC(=C1)N1CCN(CC1)C(=O)C1=NC2=CC=CC=C2N=C1,,,,No 
